"phenocode","phenostring"
"MO_IFO_PC2","second MO PC in inferior fronto-occipital fasciculus"
"MO_IFO_PC3","third MO PC in inferior fronto-occipital fasciculus"
"MO_IFO_PC4","fourth MO PC in inferior fronto-occipital fasciculus"
"MO_IFO_PC5","fifth MO PC in inferior fronto-occipital fasciculus"
"MO_PCR_PC1","first MO PC in posterior corona radiata "
"MO_PCR_PC2","second MO PC in posterior corona radiata "
"MO_PCR_PC3","third MO PC in posterior corona radiata "
"MO_PCR_PC4","fourth MO PC in posterior corona radiata "
"MO_PCR_PC5","fifth MO PC in posterior corona radiata "
"MO_PLIC_PC1","first MO PC in posterior limb of internal capsule"
"MO_PLIC_PC2","second MO PC in posterior limb of internal capsule"
"MO_PLIC_PC3","third MO PC in posterior limb of internal capsule"
"MO_PLIC_PC4","fourth MO PC in posterior limb of internal capsule"
"MO_PLIC_PC5","fifth MO PC in posterior limb of internal capsule"
"MO_PTR_PC1","first MO PC in posterior thalamic radiation"
"MO_PTR_PC2","second MO PC in posterior thalamic radiation"
"MO_PTR_PC3","third MO PC in posterior thalamic radiation"
"MO_PTR_PC4","fourth MO PC in posterior thalamic radiation"
"MO_PTR_PC5","fifth MO PC in posterior thalamic radiation"
"MO_RLIC_PC1","first MO PC in retrolenticular part of internal capsule"
"MO_RLIC_PC2","second MO PC in retrolenticular part of internal capsule"
"MO_RLIC_PC3","third MO PC in retrolenticular part of internal capsule"
"MO_RLIC_PC4","fourth MO PC in retrolenticular part of internal capsule"
"MO_RLIC_PC5","fifth MO PC in retrolenticular part of internal capsule"
"MO_SCC_PC1","first MO PC in splenium of corpus callosum"
"MO_SCC_PC2","second MO PC in splenium of corpus callosum"
"MO_SCC_PC3","third MO PC in splenium of corpus callosum"
"MO_SCC_PC4","fourth MO PC in splenium of corpus callosum"
"MO_SCC_PC5","fifth MO PC in splenium of corpus callosum"
"MO_SCR_PC1","first MO PC in superior corona radiata"
"MO_SCR_PC2","second MO PC in superior corona radiata"
"MO_SCR_PC3","third MO PC in superior corona radiata"
"MO_SCR_PC4","fourth MO PC in superior corona radiata"
"MO_SCR_PC5","fifth MO PC in superior corona radiata"
"MO_SFO_PC1","first MO PC in superior fronto-occipital fasciculus"
"MO_SFO_PC2","second MO PC in superior fronto-occipital fasciculus"
"MO_SFO_PC3","third MO PC in superior fronto-occipital fasciculus"
"MO_SFO_PC4","fourth MO PC in superior fronto-occipital fasciculus"
"MO_SFO_PC5","fifth MO PC in superior fronto-occipital fasciculus"
"MO_SLF_PC1","first MO PC in superior longitudinal fasciculus"
"MO_SLF_PC2","second MO PC in superior longitudinal fasciculus"
"MO_SLF_PC3","third MO PC in superior longitudinal fasciculus"
"MO_SLF_PC4","fourth MO PC in superior longitudinal fasciculus"
"MO_SLF_PC5","fifth MO PC in superior longitudinal fasciculus"
"MO_SS_PC1","first MO PC in sagittal stratum"
"MO_SS_PC2","second MO PC in sagittal stratum"
"MO_SS_PC3","third MO PC in sagittal stratum"
"MO_SS_PC4","fourth MO PC in sagittal stratum"
"MO_SS_PC5","fifth MO PC in sagittal stratum"
"MO_UNC_PC1","first MO PC in uncinate fasciculus"
"MO_UNC_PC2","second MO PC in uncinate fasciculus"
"MO_UNC_PC3","third MO PC in uncinate fasciculus"
"MO_UNC_PC4","fourth MO PC in uncinate fasciculus"
"MO_UNC_PC5","fifth MO PC in uncinate fasciculus"
"RD_ACR_PC1","first RD PC in anterior corona radiata"
"RD_ACR_PC2","second RD PC in anterior corona radiata"
"RD_ACR_PC3","third RD PC in anterior corona radiata"
"RD_ACR_PC4","fourth RD PC in anterior corona radiata"
"RD_ACR_PC5","fifth RD PC in anterior corona radiata"
"RD_ALIC_PC1","first RD PC in anterior limb of internal capsule"
"RD_ALIC_PC2","second RD PC in anterior limb of internal capsule"
"RD_ALIC_PC3","third RD PC in anterior limb of internal capsule"
"RD_ALIC_PC4","fourth RD PC in anterior limb of internal capsule"
"RD_ALIC_PC5","fifth RD PC in anterior limb of internal capsule"
"RD_BCC_PC1","first RD PC in body of corpus callosum"
"RD_BCC_PC2","second RD PC in body of corpus callosum"
"RD_BCC_PC3","third RD PC in body of corpus callosum"
"RD_BCC_PC4","fourth RD PC in body of corpus callosum"
"RD_BCC_PC5","fifth RD PC in body of corpus callosum"
"RD_CGC_PC1","first RD PC in cingulum (cingulate gyrus) "
"RD_CGC_PC2","second RD PC in cingulum (cingulate gyrus) "
"RD_CGC_PC3","third RD PC in cingulum (cingulate gyrus) "
"RD_CGC_PC4","fourth RD PC in cingulum (cingulate gyrus) "
"RD_CGC_PC5","fifth RD PC in cingulum (cingulate gyrus) "
"RD_CGH_PC1","first RD PC in cingulum (hippocampus) "
"RD_CGH_PC2","second RD PC in cingulum (hippocampus) "
"RD_CGH_PC3","third RD PC in cingulum (hippocampus) "
"RD_CGH_PC4","fourth RD PC in cingulum (hippocampus) "
"RD_CGH_PC5","fifth RD PC in cingulum (hippocampus) "
"RD_CST_PC1","first RD PC in corticospinal tract "
"RD_CST_PC2","second RD PC in corticospinal tract "
"RD_CST_PC3","third RD PC in corticospinal tract "
"RD_CST_PC4","fourth RD PC in corticospinal tract "
"RD_CST_PC5","fifth RD PC in corticospinal tract "
"RD_EC_PC1","first RD PC in external capsule "
"RD_EC_PC2","second RD PC in external capsule "
"RD_EC_PC3","third RD PC in external capsule "
"RD_EC_PC4","fourth RD PC in external capsule "
"RD_EC_PC5","fifth RD PC in external capsule "
"RD_FX_PC1","first RD PC in fornix (column and body of fornix)"
"RD_FX_PC2","second RD PC in fornix (column and body of fornix)"
"RD_FX_PC3","third RD PC in fornix (column and body of fornix)"
"RD_FX_PC4","fourth RD PC in fornix (column and body of fornix)"
"RD_FX_PC5","fifth RD PC in fornix (column and body of fornix)"
"RD_FXST_PC1","first RD PC in fornix-stria terminalis"
"RD_FXST_PC2","second RD PC in fornix-stria terminalis"
"RD_FXST_PC3","third RD PC in fornix-stria terminalis"
"RD_FXST_PC4","fourth RD PC in fornix-stria terminalis"
"RD_FXST_PC5","fifth RD PC in fornix-stria terminalis"
"RD_GCC_PC1","first RD PC in genu of corpus callosum"
"RD_GCC_PC2","second RD PC in genu of corpus callosum"
"RD_GCC_PC3","third RD PC in genu of corpus callosum"
"RD_GCC_PC4","fourth RD PC in genu of corpus callosum"
"RD_GCC_PC5","fifth RD PC in genu of corpus callosum"
"RD_IFO_PC1","first RD PC in inferior fronto-occipital fasciculus"
"RD_IFO_PC2","second RD PC in inferior fronto-occipital fasciculus"
"RD_IFO_PC3","third RD PC in inferior fronto-occipital fasciculus"
"RD_IFO_PC4","fourth RD PC in inferior fronto-occipital fasciculus"
"RD_IFO_PC5","fifth RD PC in inferior fronto-occipital fasciculus"
"RD_PCR_PC1","first RD PC in posterior corona radiata "
"RD_PCR_PC2","second RD PC in posterior corona radiata "
"RD_PCR_PC3","third RD PC in posterior corona radiata "
"RD_PCR_PC4","fourth RD PC in posterior corona radiata "
"RD_PCR_PC5","fifth RD PC in posterior corona radiata "
"RD_PLIC_PC1","first RD PC in posterior limb of internal capsule"
"RD_PLIC_PC2","second RD PC in posterior limb of internal capsule"
"RD_PLIC_PC3","third RD PC in posterior limb of internal capsule"
"RD_PLIC_PC4","fourth RD PC in posterior limb of internal capsule"
"RD_PLIC_PC5","fifth RD PC in posterior limb of internal capsule"
"RD_PTR_PC1","first RD PC in posterior thalamic radiation"
"RD_PTR_PC2","second RD PC in posterior thalamic radiation"
"RD_PTR_PC3","third RD PC in posterior thalamic radiation"
"RD_PTR_PC4","fourth RD PC in posterior thalamic radiation"
"RD_PTR_PC5","fifth RD PC in posterior thalamic radiation"
"RD_RLIC_PC1","first RD PC in retrolenticular part of internal capsule"
"RD_RLIC_PC2","second RD PC in retrolenticular part of internal capsule"
"RD_RLIC_PC3","third RD PC in retrolenticular part of internal capsule"
"RD_RLIC_PC4","fourth RD PC in retrolenticular part of internal capsule"
"RD_RLIC_PC5","fifth RD PC in retrolenticular part of internal capsule"
"RD_SCC_PC1","first RD PC in splenium of corpus callosum"
"RD_SCC_PC2","second RD PC in splenium of corpus callosum"
"RD_SCC_PC3","third RD PC in splenium of corpus callosum"
"RD_SCC_PC4","fourth RD PC in splenium of corpus callosum"
"RD_SCC_PC5","fifth RD PC in splenium of corpus callosum"
"RD_SCR_PC1","first RD PC in superior corona radiata"
"RD_SCR_PC2","second RD PC in superior corona radiata"
"RD_SCR_PC3","third RD PC in superior corona radiata"
"RD_SCR_PC4","fourth RD PC in superior corona radiata"
"RD_SCR_PC5","fifth RD PC in superior corona radiata"
"RD_SFO_PC1","first RD PC in superior fronto-occipital fasciculus"
"RD_SFO_PC2","second RD PC in superior fronto-occipital fasciculus"
"RD_SFO_PC3","third RD PC in superior fronto-occipital fasciculus"
"RD_SFO_PC4","fourth RD PC in superior fronto-occipital fasciculus"
"RD_SFO_PC5","fifth RD PC in superior fronto-occipital fasciculus"
"RD_SLF_PC1","first RD PC in superior longitudinal fasciculus"
"RD_SLF_PC2","second RD PC in superior longitudinal fasciculus"
"RD_SLF_PC3","third RD PC in superior longitudinal fasciculus"
"RD_SLF_PC4","fourth RD PC in superior longitudinal fasciculus"
"RD_SLF_PC5","fifth RD PC in superior longitudinal fasciculus"
"RD_SS_PC1","first RD PC in sagittal stratum"
"RD_SS_PC2","second RD PC in sagittal stratum"
"RD_SS_PC3","third RD PC in sagittal stratum"
"RD_SS_PC4","fourth RD PC in sagittal stratum"
"RD_SS_PC5","fifth RD PC in sagittal stratum"
"RD_UNC_PC1","first RD PC in uncinate fasciculus"
"RD_UNC_PC2","second RD PC in uncinate fasciculus"
"RD_UNC_PC3","third RD PC in uncinate fasciculus"
"RD_UNC_PC4","fourth RD PC in uncinate fasciculus"
"RD_UNC_PC5","fifth RD PC in uncinate fasciculus"
